MEd,beff,bw,h,hf,cnom,fck,fi,n1,d,As1,ro1,As2,ro2,n2,Mcr,MRd,Wk,Cost
1550.0,900.0,800.0,500.0,100.0,30,16,8,15,466.0,753.9822368615503,0.0018389810655159763,0,0,0,80.06404,145.89516,5.03405,152.55610368497275
1550.0,900.0,800.0,500.0,100.0,30,16,8,16,466.0,804.247719318987,0.0019615798032170417,0,0,0,81.63589,155.33769,4.5558643,154.5265105973043
1550.0,900.0,800.0,500.0,100.0,30,16,8,17,466.0,854.5132017764238,0.0020841785409181066,0,0,0,83.097046,164.76344,4.1604085,156.4969175096358
1550.0,900.0,800.0,500.0,100.0,30,16,8,18,466.0,904.7786842338604,0.0022067772786191716,0,0,0,84.3975,174.17363,3.8265455,158.4673244219673
1550.0,900.0,800.0,500.0,100.0,30,16,8,19,466.0,955.044166691297,0.0023293760163202366,0,0,0,85.63257,183.56892,3.5396714,160.43773133429886
1550.0,900.0,800.0,500.0,100.0,30,16,8,20,466.0,1005.3096491487338,0.002451974754021302,0,0,0,86.801926,192.95029,3.2967331,162.40813824663036
1550.0,900.0,800.0,500.0,100.0,30,16,8,21,466.0,1055.5751316061705,0.0025745734917223674,0,0,0,87.94057,202.31837,3.082654,164.37854515896188
1550.0,900.0,800.0,500.0,100.0,30,16,8,22,466.0,1105.840614063607,0.002697172229423432,0,0,0,89.19174,211.62944,2.8967204,166.3489520712934
1550.0,900.0,800.0,500.0,100.0,30,16,8,23,466.0,1156.1060965210438,0.002819770967124497,0,0,0,90.36923,220.82265,2.7338085,168.3193589836249
1550.0,900.0,800.0,500.0,100.0,30,16,8,24,466.0,1206.3715789784806,0.0029423697048255623,0,0,0,91.5112,229.95361,2.58687,170.28976589595644
1550.0,900.0,800.0,500.0,100.0,30,16,8,25,466.0,1256.6370614359173,0.0030649684425266277,0,0,0,92.57167,238.8416,2.453609,172.26017280828796
1550.0,900.0,800.0,500.0,100.0,30,16,8,26,466.0,1306.902543893354,0.0031875671802276927,0,0,0,93.706245,247.57013,2.3320735,174.23057972061946
1550.0,900.0,800.0,500.0,100.0,30,16,8,27,466.0,1357.1680263507906,0.0033101659179287576,0,0,0,94.91812,256.10562,2.220824,176.200986632951
1550.0,900.0,800.0,500.0,100.0,30,16,10,1,465.0,78.53981633974483,0.00019156052765791423,0,0,0,53.36614,15.483791,212.91393,126.07876080051798
1550.0,900.0,800.0,500.0,100.0,30,16,10,2,465.0,157.07963267948966,0.00038312105531582846,0,0,0,60.63011,30.478703,68.981415,129.157521601036
1550.0,900.0,800.0,500.0,100.0,30,16,10,3,465.0,235.61944901923448,0.0005746815829737426,0,0,0,63.83383,45.53564,35.691795,132.23628240155398
1550.0,900.0,800.0,500.0,100.0,30,16,10,4,465.0,314.1592653589793,0.0007662421106316569,0,0,0,66.68203,60.64454,22.851389,135.315043202072
1550.0,900.0,800.0,500.0,100.0,30,16,10,5,465.0,392.6990816987241,0.000957802638289571,0,0,0,68.94922,75.86186,16.127224,138.39380400259
1550.0,900.0,800.0,500.0,100.0,30,16,10,6,465.0,471.23889803846896,0.0011493631659474852,0,0,0,71.166405,91.1237,12.130934,141.47256480310799
1550.0,900.0,800.0,500.0,100.0,30,16,10,7,465.0,549.7787143782137,0.0013409236936053994,0,0,0,73.32054,106.39926,9.547782,144.55132560362597
1550.0,900.0,800.0,500.0,100.0,30,16,10,8,465.0,628.3185307179587,0.0015324842212633139,0,0,0,75.4,121.60475,7.7449884,147.63008640414398
1550.0,900.0,800.0,500.0,100.0,30,16,10,9,465.0,706.8583470577034,0.0017240447489212279,0,0,0,77.600945,136.34818,6.4335766,150.70884720466196
1550.0,900.0,800.0,500.0,100.0,30,16,10,10,465.0,785.3981633974482,0.001915605276579142,0,0,0,79.639755,150.98772,5.443413,153.78760800517998
1550.0,900.0,800.0,500.0,100.0,30,16,10,11,465.0,863.9379797371931,0.0021071658042370565,0,0,0,82.04799,165.6001,4.6841035,156.86636880569796
1550.0,900.0,800.0,500.0,100.0,30,16,10,12,465.0,942.4777960769379,0.0022987263318949703,0,0,0,84.38479,180.21051,4.0837793,159.94512960621597
1550.0,900.0,800.0,500.0,100.0,30,16,10,13,465.0,1021.0176124166827,0.0024902868595528846,0,0,0,86.609055,194.74663,3.5997188,163.02389040673395
1550.0,900.0,800.0,500.0,100.0,30,16,10,14,465.0,1099.5574287564275,0.002681847387210799,0,0,0,88.71752,209.14476,3.2136579,166.10265120725194
1550.0,900.0,800.0,500.0,100.0,30,16,10,15,465.0,1178.0972450961724,0.002873407914868713,0,0,0,90.64194,223.5044,2.9021053,169.18141200776995
1550.0,900.0,800.0,500.0,100.0,30,16,10,16,465.0,1256.6370614359173,0.0030649684425266277,0,0,0,92.42606,237.82808,2.646091,172.26017280828796
1550.0,900.0,800.0,500.0,100.0,30,16,10,17,465.0,1335.176877775662,0.0032565289701845415,0,0,0,94.138565,251.8156,2.4374044,175.33893360880595
1550.0,900.0,800.0,500.0,100.0,30,16,10,18,465.0,1413.7166941154069,0.0034480894978424557,0,0,0,95.783394,265.51294,2.2630107,178.41769440932396
1550.0,900.0,800.0,500.0,100.0,30,16,10,19,465.0,1492.2565104551518,0.0036396500255003704,0,0,0,97.51754,279.27618,2.1096861,181.49645520984194
1550.0,900.0,800.0,500.0,100.0,30,16,10,20,465.0,1570.7963267948965,0.003831210553158284,0,0,0,99.49786,292.86295,1.9737755,184.57521601035992
1550.0,900.0,800.0,500.0,100.0,30,16,10,21,465.0,1649.3361431346414,0.004022771080816199,0,0,0,101.50037,306.39948,1.8528713,187.65397681087796
1550.0,900.0,800.0,500.0,100.0,30,16,10,22,465.0,1727.8759594743863,0.004214331608474113,0,0,0,103.42402,319.63934,1.7444965,190.73273761139592
1550.0,900.0,800.0,500.0,100.0,30,16,10,23,465.0,1806.415775814131,0.0044058921361320265,0,0,0,105.47042,332.75626,1.6470023,193.81149841191393
1550.0,900.0,800.0,500.0,100.0,30,16,10,24,465.0,1884.9555921538758,0.004597452663789941,0,0,0,107.62221,345.8191,1.5595574,196.8902592124319
1550.0,900.0,800.0,500.0,100.0,30,16,10,25,465.0,1963.4954084936207,0.004789013191447856,0,0,0,109.71373,358.83002,1.4806669,199.96902001294993
1550.0,900.0,800.0,500.0,100.0,30,16,12,1,464.0,113.09733552923255,0.00027584715982739645,0,0,0,57.915703,21.976067,139.64415,127.43341555274591
1550.0,900.0,800.0,500.0,100.0,30,16,12,2,464.0,226.1946710584651,0.0005516943196547929,0,0,0,64.3827,43.529804,45.171658,131.86683110549183
1550.0,900.0,800.0,500.0,100.0,30,16,12,3,464.0,339.29200658769764,0.0008275414794821894,0,0,0,67.99542,64.999146,23.179611,136.30024665823774
1550.0,900.0,800.0,500.0,100.0,30,16,12,4,464.0,452.3893421169302,0.0011033886393095858,0,0,0,71.30833,86.80665,14.662376,140.73366221098365
1550.0,900.0,800.0,500.0,100.0,30,16,12,5,464.0,565.4866776461628,0.0013792357991369824,0,0,0,74.4171,108.688156,10.270516,145.16707776372957
1550.0,900.0,800.0,500.0,100.0,30,16,12,6,464.0,678.5840131753953,0.0016550829589643788,0,0,0,77.38349,130.47113,7.6873956,149.60049331647548
1550.0,900.0,800.0,500.0,100.0,30,16,12,7,464.0,791.6813487046279,0.0019309301187917754,0,0,0,80.08878,151.62587,6.0167074,154.03390886922142
1550.0,900.0,800.0,500.0,100.0,30,16,12,8,464.0,904.7786842338604,0.0022067772786191716,0,0,0,82.93794,172.54732,4.867766,158.4673244219673
1550.0,900.0,800.0,500.0,100.0,30,16,12,9,464.0,1017.8760197630929,0.0024826244384465682,0,0,0,85.88479,193.23552,4.0416846,162.90073997471325
1550.0,900.0,800.0,500.0,100.0,30,16,12,10,464.0,1130.9733552923256,0.002758471598273965,0,0,0,88.57089,213.77498,3.422292,167.33415552745913
1550.0,900.0,800.0,500.0,100.0,30,16,12,11,464.0,1244.0706908215582,0.0030343187581013615,0,0,0,91.26207,234.22968,2.9472826,171.76757108020507
1550.0,900.0,800.0,500.0,100.0,30,16,12,12,464.0,1357.1680263507906,0.0033101659179287576,0,0,0,93.76078,254.57686,2.5796835,176.200986632951
1550.0,900.0,800.0,500.0,100.0,30,16,12,13,464.0,1470.2653618800232,0.0035860130777561543,0,0,0,96.20314,274.44354,2.2991965,180.6344021856969
1550.0,900.0,800.0,500.0,100.0,30,16,12,14,464.0,1583.3626974092558,0.003861860237583551,0,0,0,98.78356,294.16678,2.0765405,185.06781773844284
1550.0,900.0,800.0,500.0,100.0,30,16,12,15,464.0,1696.4600329384882,0.004137707397410947,0,0,0,101.74726,313.51932,1.8938881,189.50123329118873
1550.0,900.0,800.0,500.0,100.0,30,16,12,16,464.0,1809.5573684677208,0.004413554557238343,0,0,0,104.634575,332.59366,1.7409261,193.93464884393467
1550.0,900.0,800.0,500.0,100.0,30,16,12,17,464.0,1922.6547039969535,0.00468940171706574,0,0,0,107.40668,351.41843,1.6091415,198.36806439668055
1550.0,900.0,800.0,500.0,100.0,30,16,12,18,464.0,2035.7520395261859,0.0049652488768931365,0,0,0,110.27346,370.06958,1.4943233,202.8014799494265
1550.0,900.0,800.0,500.0,100.0,30,16,12,19,464.0,2148.8493750554185,0.005241096036720533,0,0,0,113.21504,388.62207,1.3937743,207.23489550217238
1550.0,900.0,800.0,500.0,100.0,30,16,12,20,464.0,2261.946710584651,0.00551694319654793,0,0,0,116.09223,407.08215,1.3046232,211.66831105491832
1550.0,900.0,800.0,500.0,100.0,30,16,12,21,464.0,2375.0440461138837,0.005792790356375326,0,0,0,118.902534,425.4118,1.2254014,216.10172660766423
1550.0,900.0,800.0,500.0,100.0,30,16,12,22,464.0,2488.1413816431163,0.006068637516202723,0,0,0,121.59541,443.1217,1.1545594,220.53514216041017
1550.0,900.0,800.0,500.0,100.0,30,16,12,23,464.0,2601.2387171723485,0.006344484676030118,0,0,0,124.34643,460.25427,1.0916535,224.9685577131561
1550.0,900.0,800.0,500.0,100.0,30,16,14,1,463.0,153.93804002589985,0.00037545863420951185,0,0,0,61.372356,29.623444,97.59821,129.0343711690153
1550.0,900.0,800.0,500.0,100.0,30,16,14,2,463.0,307.8760800517997,0.0007509172684190237,0,0,0,68.26712,58.80814,31.085045,135.06874233803055
1550.0,900.0,800.0,500.0,100.0,30,16,14,3,463.0,461.8141200776996,0.0011263759026285357,0,0,0,72.8787,87.95612,15.787621,141.10311350704583
1550.0,900.0,800.0,500.0,100.0,30,16,14,4,463.0,615.7521601035994,0.0015018345368380474,0,0,0,76.98986,117.53639,9.914606,147.1374846760611
1550.0,900.0,800.0,500.0,100.0,30,16,14,5,463.0,769.6902001294993,0.0018772931710475593,0,0,0,80.846085,146.85262,6.92685,153.17185584507638
1550.0,900.0,800.0,500.0,100.0,30,16,14,6,463.0,923.6282401553992,0.0022527518052570714,0,0,0,84.25271,175.37137,5.1779203,159.20622701409164
1550.0,900.0,800.0,500.0,100.0,30,16,14,7,463.0,1077.5662801812991,0.002628210439466583,0,0,0,87.854095,203.30275,4.051401,165.24059818310693
1550.0,900.0,800.0,500.0,100.0,30,16,14,8,463.0,1231.5043202071988,0.0030036690736760948,0,0,0,91.477295,231.0696,3.2774048,171.27496935212218
1550.0,900.0,800.0,500.0,100.0,30,16,14,9,463.0,1385.4423602330987,0.0033791277078856065,0,0,0,94.765045,258.75238,2.722025,177.30934052113747
1550.0,900.0,800.0,500.0,100.0,30,16,14,10,463.0,1539.3804002589986,0.0037545863420951186,0,0,0,97.93031,285.64746,2.313384,183.34371169015276
1550.0,900.0,800.0,500.0,100.0,30,16,14,11,463.0,1693.3184402848985,0.00413004497630463,0,0,0,101.45725,311.81964,2.015202,189.378082859168
1550.0,900.0,800.0,500.0,100.0,30,16,14,12,463.0,1847.2564803107985,0.004505503610514143,0,0,0,105.470726,337.60852,1.7872758,195.41245402818328
1550.0,900.0,800.0,500.0,100.0,30,16,14,13,463.0,2001.1945203366981,0.004880962244723654,0,0,0,109.32905,363.26602,1.6047714,201.44682519719856
1550.0,900.0,800.0,500.0,100.0,30,16,14,14,463.0,2155.1325603625983,0.005256420878933166,0,0,0,112.98283,388.75647,1.455402,207.48119636621385
1550.0,900.0,800.0,500.0,100.0,30,16,14,15,463.0,2309.070600388498,0.005631879513142678,0,0,0,116.768555,413.93866,1.3305879,213.51556753522914
1550.0,900.0,800.0,500.0,100.0,30,16,14,16,463.0,2463.0086404143976,0.0060073381473521896,0,0,0,121.015076,438.03748,1.2237403,219.54993870424437
1550.0,900.0,800.0,500.0,100.0,30,16,14,17,463.0,2616.9466804402978,0.006382796781561702,0,0,0,125.25628,461.70486,1.1317534,225.58430987325966
1550.0,900.0,800.0,500.0,100.0,30,16,14,18,463.0,2770.8847204661975,0.006758255415771213,0,0,0,129.37167,484.96362,1.0510726,231.61868104227491
1550.0,900.0,800.0,500.0,100.0,30,16,14,19,463.0,2924.8227604920976,0.0071337140499807255,0,0,0,133.46935,507.49432,0.9815538,237.65305221129023
1550.0,900.0,800.0,500.0,100.0,30,16,14,20,463.0,3078.7608005179973,0.007509172684190237,0,0,0,137.4494,529.75024,0.9204658,243.6874233803055
1550.0,900.0,800.0,500.0,100.0,30,16,14,21,463.0,3232.698840543897,0.007884631318399749,0,0,0,141.37575,551.8253,0.86603546,249.72179454932075
1550.0,900.0,800.0,500.0,100.0,30,16,14,22,463.0,3386.636880569797,0.00826008995260926,0,0,0,145.54024,571.7673,0.81680894,255.75616571833604
1550.0,900.0,800.0,500.0,100.0,30,16,16,1,462.0,201.06192982974676,0.0004903949508042604,0,0,0,64.84968,38.433475,70.89534,130.88162764932605
1550.0,900.0,800.0,500.0,100.0,30,16,16,2,462.0,402.1238596594935,0.0009807899016085208,0,0,0,73.05023,76.2873,22.045046,138.76325529865215
1550.0,900.0,800.0,500.0,100.0,30,16,16,3,462.0,603.1857894892403,0.0014711848524127811,0,0,0,77.86638,114.35224,11.23844,146.6448829479782
1550.0,900.0,800.0,500.0,100.0,30,16,16,4,462.0,804.247719318987,0.0019615798032170417,0,0,0,82.738,152.3786,7.016479,154.5265105973043
1550.0,900.0,800.0,500.0,100.0,30,16,16,5,462.0,1005.3096491487338,0.002451974754021302,0,0,0,86.868546,189.37218,4.894162,162.40813824663036
1550.0,900.0,800.0,500.0,100.0,30,16,16,6,462.0,1206.3715789784806,0.0029423697048255623,0,0,0,91.37128,225.67287,3.6634026,170.28976589595644
1550.0,900.0,800.0,500.0,100.0,30,16,16,7,462.0,1407.4335088082273,0.0034327646556298226,0,0,0,95.71483,261.80396,2.8694315,178.1713935452825
1550.0,900.0,800.0,500.0,100.0,30,16,16,8,462.0,1608.495438637974,0.003923159606434083,0,0,0,99.4929,296.71863,2.3289468,186.0530211946086
1550.0,900.0,800.0,500.0,100.0,30,16,16,9,462.0,1809.5573684677208,0.004413554557238343,0,0,0,103.76081,330.36484,1.9511203,193.93464884393467
1550.0,900.0,800.0,500.0,100.0,30,16,16,10,462.0,2010.6192982974676,0.004903949508042604,0,0,0,108.75985,363.68283,1.6804498,201.81627649326072
1550.0,900.0,800.0,500.0,100.0,30,16,16,11,462.0,2211.681228127214,0.005394344458846864,0,0,0,114.45639,396.64615,1.4735774,209.6979041425868
1550.0,900.0,800.0,500.0,100.0,30,16,16,12,462.0,2412.743157956961,0.005884739409651125,0,0,0,120.30188,428.3556,1.3113539,217.57953179191287
1550.0,900.0,800.0,500.0,100.0,30,16,16,13,462.0,2613.805087786708,0.006375134360455385,0,0,0,125.90125,459.8713,1.1804738,225.46115944123895
1550.0,900.0,800.0,500.0,100.0,30,16,16,14,462.0,2814.8670176164546,0.006865529311259645,0,0,0,131.22002,490.55112,1.0727497,233.34278709056503
1550.0,900.0,800.0,500.0,100.0,30,16,16,15,462.0,3015.928947446201,0.007355924262063905,0,0,0,135.99072,520.63574,0.9805332,241.22441473989107
1550.0,900.0,800.0,500.0,100.0,30,16,16,16,462.0,3216.990877275948,0.007846319212868167,0,0,0,141.07748,549.69196,0.9036698,249.10604238921718
1550.0,900.0,800.0,500.0,100.0,30,16,16,17,462.0,3418.052807105695,0.008336714163672427,0,0,0,146.08409,575.8221,0.83745795,256.98767003854323
1550.0,900.0,800.0,500.0,100.0,30,16,16,18,462.0,3619.1147369354417,0.008827109114476686,0,0,0,151.01501,600.6169,0.77968985,264.86929768786933
1550.0,900.0,800.0,500.0,100.0,30,16,16,19,462.0,3820.176666765188,0.009317504065280946,0,0,0,156.01088,623.9463,0.7289726,272.7509253371954
1550.0,900.0,800.0,500.0,100.0,30,16,16,20,462.0,4021.238596594935,0.009807899016085208,0,0,0,160.8768,647.7375,0.6837171,280.63255298652143
1550.0,900.0,800.0,500.0,100.0,30,16,16,21,462.0,4222.300526424682,0.01029829396688947,0,0,0,165.59723,670.68646,0.64355266,288.51418063584754
1550.0,900.0,800.0,500.0,100.0,30,16,20,1,460.0,314.1592653589793,0.0007662421106316569,0,0,0,71.42035,59.486485,40.25845,135.315043202072
1550.0,900.0,800.0,500.0,100.0,30,16,20,2,460.0,628.3185307179587,0.0015324842212633139,0,0,0,81.10003,118.13491,12.341115,147.63008640414398
1550.0,900.0,800.0,500.0,100.0,30,16,20,3,460.0,942.4777960769379,0.0022987263318949703,0,0,0,86.20638,176.03181,6.2853613,159.94512960621597
1550.0,900.0,800.0,500.0,100.0,30,16,20,4,460.0,1256.6370614359173,0.0030649684425266277,0,0,0,91.799904,232.68442,3.934976,172.26017280828796
1550.0,900.0,800.0,500.0,100.0,30,16,20,5,460.0,1570.7963267948965,0.003831210553158284,0,0,0,98.225044,288.71872,2.7493272,184.57521601035992
1550.0,900.0,800.0,500.0,100.0,30,16,20,6,460.0,1884.9555921538758,0.004597452663789941,0,0,0,104.61377,341.60007,2.0702431,196.8902592124319
1550.0,900.0,800.0,500.0,100.0,30,16,20,7,460.0,2199.114857512855,0.005363694774421598,0,0,0,112.99091,392.78198,1.6390465,209.20530241450388
1550.0,900.0,800.0,500.0,100.0,30,16,20,8,460.0,2513.2741228718346,0.006129936885053255,0,0,0,121.20802,442.49814,1.3559303,221.52034561657592
1550.0,900.0,800.0,500.0,100.0,30,16,20,9,460.0,2827.4333882308138,0.0068961789956849115,0,0,0,128.82332,491.41312,1.1530899,233.83538881864789
1550.0,900.0,800.0,500.0,100.0,30,16,20,10,460.0,3141.592653589793,0.007662421106316568,0,0,0,136.77997,538.86005,1.0008031,246.15043202071985
1550.0,900.0,800.0,500.0,100.0,30,16,20,11,460.0,3455.7519189487725,0.008428663216948226,0,0,0,144.43034,581.6082,0.8821232,258.4654752227919
1550.0,900.0,800.0,500.0,100.0,30,16,20,12,460.0,3769.9111843077517,0.009194905327579881,0,0,0,151.72475,620.0656,0.78952736,270.7805184248639
1550.0,900.0,800.0,500.0,100.0,30,16,20,13,460.0,4084.070449666731,0.009961147438211538,0,0,0,158.75934,657.18933,0.7141651,283.0955616269358
1550.0,900.0,800.0,500.0,100.0,30,16,20,14,460.0,4398.22971502571,0.010727389548843195,0,0,0,165.2334,692.74225,0.65085125,295.41060482900775
1550.0,900.0,800.0,500.0,100.0,30,16,20,15,460.0,4712.38898038469,0.011493631659474852,0,0,0,172.37411,716.3116,0.5962659,307.7256480310798
1550.0,900.0,800.0,500.0,100.0,30,16,20,16,460.0,5026.548245743669,0.01225987377010651,0,0,0,179.3771,729.1638,0.5506321,320.04069123315185
1550.0,900.0,800.0,500.0,100.0,30,16,20,17,460.0,5340.707511102648,0.013026115880738166,0,0,0,186.17398,738.99976,0.5113789,332.3557344352238
1550.0,900.0,800.0,500.0,100.0,30,16,20,18,460.0,5654.8667764616275,0.013792357991369823,0,0,0,193.03229,748.395,0.4771723,344.67077763729577
1550.0,900.0,800.0,500.0,100.0,30,16,20,19,460.0,5969.026041820607,0.014558600102001482,0,0,0,199.88284,751.96277,0.44702083,356.9858208393678
1550.0,900.0,800.0,500.0,100.0,30,16,25,1,457.5,490.8738521234052,0.001197253297861964,0,0,0,79.10275,91.9496,22.346167,142.24225500323746
1550.0,900.0,800.0,500.0,100.0,30,16,25,2,457.5,981.7477042468104,0.002394506595723928,0,0,0,88.12653,182.67451,6.8587856,161.48451000647498
1550.0,900.0,800.0,500.0,100.0,30,16,25,3,457.5,1472.6215563702156,0.0035917598935858914,0,0,0,96.485176,271.0485,3.5212636,180.72676500971244
1550.0,900.0,800.0,500.0,100.0,30,16,25,4,457.5,1963.4954084936207,0.004789013191447856,0,0,0,105.305046,352.99442,2.2118745,199.96902001294993
1550.0,900.0,800.0,500.0,100.0,30,16,25,5,457.5,2454.3692606170257,0.005986266489309819,0,0,0,115.99585,430.4915,1.560316,219.21127501618741
1550.0,900.0,800.0,500.0,100.0,30,16,25,6,457.5,2945.243112740431,0.007183519787171783,0,0,0,126.0638,506.33215,1.1978004,238.4535300194249
1550.0,900.0,800.0,500.0,100.0,30,16,25,7,457.5,3436.116964863836,0.008380773085033747,0,0,0,136.34674,576.46796,0.96784407,257.69578502266233
1550.0,900.0,800.0,500.0,100.0,30,16,25,8,457.5,3926.9908169872415,0.009578026382895712,0,0,0,147.2068,638.3764,0.8078452,276.93804002589985
1550.0,900.0,800.0,500.0,100.0,30,16,25,9,457.5,4417.864669110647,0.010775279680757675,0,0,0,159.0271,695.3083,0.6928844,296.18029502913737
1550.0,900.0,800.0,500.0,100.0,30,16,25,10,457.5,4908.738521234051,0.011972532978619638,0,0,0,170.44408,723.9944,0.60594684,315.42255003237483
1550.0,900.0,800.0,500.0,100.0,30,16,25,11,457.5,5399.612373357457,0.013169786276481603,0,0,0,180.11249,739.41144,0.5375977,334.6648050356123
1550.0,900.0,800.0,500.0,100.0,30,16,25,12,457.5,5890.486225480862,0.014367039574343566,0,0,0,188.85387,748.00287,0.48268008,353.9070600388498
1550.0,900.0,800.0,500.0,100.0,30,16,25,13,457.5,6381.360077604268,0.01556429287220553,0,0,0,197.37155,751.9018,0.437226,373.14931504208727
1550.0,900.0,800.0,500.0,100.0,30,16,25,14,457.5,6872.233929727672,0.016761546170067494,0,0,0,205.12222,756.1841,0.39883682,392.39157004532467
1550.0,900.0,800.0,500.0,100.0,30,16,25,15,457.5,7363.107781851078,0.017958799467929457,0,0,0,212.49515,759.9713,0.3666071,411.63382504856224
1550.0,900.0,800.0,500.0,100.0,30,16,28,1,456.0,615.7521601035994,0.0015018345368380474,0,0,0,82.90972,115.05063,16.566536,147.1374846760611
1550.0,900.0,800.0,500.0,100.0,30,16,28,2,456.0,1231.5043202071988,0.0030036690736760948,0,0,0,93.59889,227.51639,5.089424,171.27496935212218
1550.0,900.0,800.0,500.0,100.0,30,16,28,3,456.0,1847.2564803107985,0.004505503610514143,0,0,0,103.70581,334.26114,2.6277921,195.41245402818328
1550.0,900.0,800.0,500.0,100.0,30,16,28,4,456.0,2463.0086404143976,0.0060073381473521896,0,0,0,114.75345,430.97888,1.6620623,219.54993870424437
1550.0,900.0,800.0,500.0,100.0,30,16,28,5,456.0,3078.7608005179973,0.007509172684190237,0,0,0,126.811646,525.5968,1.1864909,243.6874233803055
1550.0,900.0,800.0,500.0,100.0,30,16,28,6,456.0,3694.512960621597,0.009011007221028286,0,0,0,139.6339,606.7974,0.9202308,267.82490805636655
1550.0,900.0,800.0,500.0,100.0,30,16,28,7,456.0,4310.2651207251965,0.010512841757866332,0,0,0,152.8794,682.50494,0.7466083,291.9623927324277
1550.0,900.0,800.0,500.0,100.0,30,16,28,8,456.0,4926.017280828795,0.012014676294704379,0,0,0,165.29208,722.7553,0.6276086,316.09987740848874
1550.0,900.0,800.0,500.0,100.0,30,16,28,9,456.0,5541.769440932395,0.013516510831542426,0,0,0,177.37465,741.50977,0.5405513,340.2373620845499
1550.0,900.0,800.0,500.0,100.0,30,16,28,10,456.0,6157.5216010359945,0.015018345368380474,0,0,0,188.26744,746.3209,0.47345796,364.374846760611
1550.0,900.0,800.0,500.0,100.0,30,16,28,11,456.0,6773.273761139594,0.01652017990521852,0,0,0,197.80695,749.4517,0.42030698,388.51233143667207
1550.0,900.0,800.0,500.0,100.0,30,16,28,12,456.0,7389.025921243194,0.01802201444205657,0,0,0,207.2565,753.75165,0.37700287,412.64981611273316
1550.0,900.0,800.0,500.0,100.0,30,16,28,13,456.0,8004.7780813467925,0.019523848978894615,0,0,0,216.3799,757.31903,0.34069434,436.7873007887943
1550.0,900.0,800.0,500.0,100.0,30,16,32,1,454.0,804.247719318987,0.0019615798032170417,0,0,0,87.39524,149.65744,11.652756,154.5265105973043
1550.0,900.0,800.0,500.0,100.0,30,16,32,2,454.0,1608.495438637974,0.003923159606434083,0,0,0,101.979965,294.417,3.59453,186.0530211946086
1550.0,900.0,800.0,500.0,100.0,30,16,32,3,454.0,2412.743157956961,0.005884739409651125,0,0,0,113.850334,422.82745,1.8680655,217.57953179191287
1550.0,900.0,800.0,500.0,100.0,30,16,32,4,454.0,3216.990877275948,0.007846319212868167,0,0,0,128.68996,544.6128,1.1956079,249.10604238921718
1550.0,900.0,800.0,500.0,100.0,30,16,32,5,454.0,4021.238596594935,0.009807899016085208,0,0,0,145.28888,644.89685,0.8718983,280.63255298652143
1550.0,900.0,800.0,500.0,100.0,30,16,32,6,454.0,4825.486315913922,0.01176947881930225,0,0,0,160.78647,715.8602,0.6797383,312.15906358382574
1550.0,900.0,800.0,500.0,100.0,30,16,32,7,454.0,5629.734035232909,0.01373105862251929,0,0,0,174.62787,735.7895,0.55551827,343.68557418113005
